LOAN_ID|ORIG_CHN|Seller.Name|ORIG_RT|ORIG_AMT|ORIG_TRM|ORIG_DTE|FRST_DTE|OLTV|OCLTV|NUM_BO|DTI|CSCORE_B|FTHB_FLG|PURPOSE|PROP_TYP|NUM_UNIT|OCC_STAT|STATE|ZIP_3|MI_PCT|Product.Type|CSCORE_C|MI_TYPE|RELOCATION_FLG
224843014647|B|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|8.5|147000|360|02/2000|04/2000|75.0||2.0|29.0|808.0|Y|P|SF|1|P|IN|461||FRM|747.0||N
205103521877|R|JPMORGAN CHASE BANK, NA|8.125|40000|360|11/1999|01/2000|38.0||1.0|56.0|600.0|N|R|SF|1|P|TX|778||FRM|||N
125201368177|B|BANK OF AMERICA, N.A.|8.25|73000|360|02/2000|04/2000|86.0||1.0|24.0|662.0|N|R|SF|1|P|OH|458|25.0|FRM||1.0|N
438973144758|C|JPMORGAN CHASE BANK, NA|7.75|240000|180|01/2000|03/2000|67.0||2.0|19.0|775.0|N|P|PU|1|P|TX|780||FRM|771.0||N
745894607001|B|FLAGSTAR BANK, FSB|7.875|100000|360|12/1999|02/2000|42.0||2.0|56.0|694.0|N|P|CO|1|P|RI|28||FRM|691.0||N
445433313268|R|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|7.625|124000|360|12/1999|02/2000|95.0||1.0|32.0||N|P|SF|1|P|NC|275|25.0|FRM||1.0|N
978244064571|B|NETBANK FUNDING SERVICES|7.875|95000|360|12/1999|02/2000|83.0||2.0|28.0|672.0|Y|P|SF|1|P|IN|464|12.0|FRM|726.0|1.0|N
456378899902|R|OTHER|8.375|36000|360|02/2000|04/2000|90.0||1.0|29.0|769.0|N|P|SF|1|P|NY|148|25.0|FRM||1.0|N
453623258278|R|BISHOPS GATE RESIDENTIAL MORTGAGE TRUST|7.625|155000|360|02/2000|05/2000|90.0||2.0|37.0|686.0|N|P|SF|1|P|MO|640|17.0|FRM|681.0|1.0|Y
318326452481|R|BISHOPS GATE RESIDENTIAL MORTGAGE TRUST|7.875|83000|180|02/2000|04/2000|94.0||1.0|13.0|732.0|Y|P|SF|1|P|NC|274|25.0|FRM||1.0|N
920464128958|B|OTHER|7.875|131000|180|03/2000|05/2000|75.0||2.0|37.0|611.0|N|C|SF|1|P|MI|483||FRM|685.0||N
938259812774|R|OTHER|7.25|154000|180|01/2000|03/2000|51.0||2.0|52.0|750.0|N|P|CO|1|S|SC|295||FRM|695.0||N
809112048231|C|BANK OF AMERICA, N.A.|8.375|237000|360|01/2000|03/2000|60.0||2.0|25.0|702.0|N|C|SF|1|I|CA|947||FRM|762.0||N
773496615143|R|WELLS FARGO BANK, N.A.|7.875|78000|360|12/1999|02/2000|80.0||1.0|29.0|767.0|N|P|SF|1|P|VA|235||FRM|||N
830087301486|R|JP MORGAN CHASE BANK, NA|8.55|92000|360|01/2000|03/2000|80.0||1.0|39.0|794.0|N|P|CO|1|P|MI|484||FRM|||N
187722868607|C|NETBANK FUNDING SERVICES|7.875|145000|180|01/2000|03/2000|79.0||2.0|29.0|744.0|N|C|SF|1|P|OH|446||FRM|730.0||N
663803057994|B|REGIONS BANK|7.75|146000|360|10/1999|12/1999|90.0||1.0|22.0|663.0|N|P|SF|1|P|GA|300|25.0|FRM||1.0|N
447781584497|B|OTHER|6.95|68000|360|10/1999|12/1999|97.0||2.0|33.0||N|P|SF|1|P|WA|989|30.0|FRM|606.0|1.0|N
354167122720|C|SUNTRUST MORTGAGE INC.|7.625|91000|360|07/1999|09/1999|80.0||2.0|23.0|739.0|N|R|SF|1|P|TN|384||FRM|767.0||N
254780003060|R|BISHOPS GATE RESIDENTIAL MORTGAGE TRUST|7.75|85000|360|12/1999|02/2000|90.0||2.0|15.0|738.0|N|P|SF|1|P|TX|761|25.0|FRM|602.0|1.0|N
792667071258|R|WELLS FARGO BANK, N.A.|8.0|80000|180|01/2000|03/2000|73.0||2.0|40.0|754.0|N|P|SF|1|I|NC|274||FRM|741.0||N
376679881552|C|JPMORGAN CHASE BANK, NA|7.625|136000|360|11/1999|01/2000|80.0||2.0|25.0|713.0|N|P|SF|1|P|CO|804||FRM|717.0||N
859853075372|B|OTHER|8.375|94000|360|11/1999|01/2000|90.0||1.0|55.0|751.0|N|P|CP|1|P|NY|104|17.0|FRM||1.0|N
849565911493|R|JP MORGAN CHASE BANK, NA|8.375|102000|360|01/2000|03/2000|95.0||1.0|34.0|644.0|N|P|SF|1|P|MI|494|30.0|FRM||1.0|N
918112722452|C|OTHER|8.25|62000|360|12/1999|01/2000|97.0||1.0|47.0|685.0|N|P|SF|1|P|IL|606|35.0|FRM||1.0|N
168505580052|C|OTHER|7.5|135000|360|11/1999|01/2000|80.0||2.0|37.0|775.0|N|P|PU|1|P|OK|730||FRM|778.0||N
925785721041|R|JPMORGAN CHASE BANK, NA|7.25|140000|360|01/2000|03/2000|45.0||2.0|26.0|802.0|N|P|SF|1|P|OR|977||FRM|||N
229154126227|C|AMTRUST BANK|7.625|196000|360|11/1999|01/2000|80.0||2.0||696.0|N|C|SF|1|P|CO|809||FRM|661.0||N
762646712999|C|NETBANK FUNDING SERVICES|7.875|83000|360|12/1999|02/2000|80.0||1.0|44.0|580.0|Y|P|SF|1|P|ND|582||FRM|||N
934887238219|R|OTHER|7.5|189000|360|06/1999|08/1999|94.0||2.0|27.0|768.0|Y|P|SF|1|P|WI|530|30.0|FRM|723.0|1.0|N
226080001659|R|REGIONS BANK|7.75|72000|240|11/1999|02/2000|75.0||2.0|19.0|723.0|N|C|SF|1|P|GA|307||FRM|717.0||N
724333170473|R|OTHER|8.25|167000|360|12/1999|02/2000|90.0||1.0|54.0|659.0|Y|P|SF|1|P|MI|490|17.0|FRM||1.0|N
884247915784|R|JPMORGAN CHASE BANK, NA|8.875|149000|360|01/2000|03/2000|90.0||2.0|51.0|760.0|N|P|SF|1|P|CO|801|25.0|FRM|784.0|1.0|N
849636484929|R|JPMORGAN CHASE BANK, NA|8.0|205000|360|01/2000|02/2000|90.0||2.0|11.0|673.0|Y|P|CP|1|P|NY|112|25.0|FRM|708.0|1.0|N
840639200734|C|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.25|253000|360|01/2000|03/2000|78.0||2.0|14.0|678.0|N|P|SF|1|P|OK|731||FRM|||N
307254601574|B|JPMORGAN CHASE BANK, NA|7.875|200000|360|12/1999|02/2000|60.0||1.0|10.0|718.0|N|P|CO|1|S|FL|334||FRM|||N
372717191899|C|OTHER|8.875|132000|360|12/1999|02/2000|80.0||1.0|41.0|655.0|N|C|SF|1|P|VA|223||FRM|||N
488427477605|R|JPMORGAN CHASE BANK, NA|7.75|48000|180|12/1999|02/2000|59.0||1.0|20.0|728.0|N|C|MH|1|P|UT|840||FRM|||N
675703587340|R|BANK OF AMERICA, N.A.|8.125|59000|360|01/2000|03/2000|90.0||1.0|35.0|733.0|N|P|SF|1|P|FL|346|25.0|FRM||1.0|N
599400733078|R|REGIONS BANK|8.25|77000|360|01/2000|03/2000|90.0||1.0|40.0|770.0|N|P|SF|1|P|GA|306|25.0|FRM||1.0|N
555332927577|C|BANK OF AMERICA, N.A.|7.625|138000|360|11/1999|01/2000|80.0||1.0|41.0|713.0|N|R|SF|1|P|TX|770||FRM|||N
625255823755|C|BANK OF AMERICA, N.A.|8.0|188000|360|12/1999|02/2000|80.0||2.0|45.0|732.0|N|R|PU|1|P|AZ|857||FRM|716.0||N
465148507745|B|BANK OF AMERICA, N.A.|7.75|83000|180|01/2000|03/2000|77.0||2.0|39.0|783.0|N|R|SF|1|P|CA|958||FRM|784.0||N
277324612539|R|JP MORGAN CHASE BANK, NA|7.75|148000|360|11/1999|01/2000|66.0||1.0|28.0|690.0|N|P|SF|1|I|AZ|852||FRM|||N
580650048561|C|BANK OF AMERICA, N.A.|8.375|125000|360|02/2000|04/2000|95.0||1.0|38.0|701.0|N|P|PU|1|P|AZ|852|30.0|FRM||1.0|N
338835596410|R|OTHER|8.75|95000|360|01/2000|03/2000|54.0||1.0|31.0|780.0|N|P|SF|2|I|MA|26||FRM|||N
487111186353|B|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|8.0|146000|360|11/1999|01/2000|65.0||1.0|37.0|632.0|N|R|SF|1|P|WA|980||FRM|||N
986525589540|R|OTHER|7.625|62000|180|12/1999|02/2000|80.0||1.0|59.0|715.0|N|C|SF|1|P|IN|461||FRM|||N
288688370379|R|OTHER|7.75|239000|360|01/2000|03/2000|79.0||1.0|43.0|623.0|N|P|PU|1|P|NJ|88||FRM|||N
519243825537|R|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|7.875|128000|360|12/1999|02/2000|75.0||2.0|43.0|642.0|N|P|SF|1|P|RI|28||FRM|||N
160652492629|C|CITIMORTGAGE, INC.|7.75|162000|360|11/1999|01/2000|80.0||1.0|55.0|743.0|Y|P|SF|1|P|CA|926||FRM|||N
700137817519|B|FIRST TENNESSEE BANK NATIONAL ASSOCIATION|7.5|238000|360|01/2000|03/2000|80.0||2.0|26.0|745.0|Y|P|SF|1|P|VA|201||FRM|759.0||N
292045630447|R|CITIMORTGAGE, INC.|7.625|147000|360|12/1999|02/2000|80.0||2.0|27.0|771.0|N|P|SF|1|P|MT|591||FRM|784.0||N
552536208496|R|JPMORGAN CHASE BANK, NA|7.5|66000|360|12/1999|02/2000|75.0||1.0||693.0|N|P|SF|1|P|FL|328||FRM|||N
638596284973|C|SUNTRUST MORTGAGE INC.|8.375|211000|360|02/2000|03/2000|75.0||1.0|64.0|772.0|Y|P|SF|1|P|CA|920||FRM|||N
905606673254|C|BANK OF AMERICA, N.A.|8.0|127000|360|01/2000|02/2000|71.0||1.0|52.0|738.0|N|R|SF|1|P|UT|843||FRM|||N
804238284692|C|OTHER|8.875|85000|360|01/2000|03/2000|93.0||2.0|55.0|704.0|N|P|SF|1|P|KS|660|25.0|FRM|727.0|1.0|N
621696320138|R|CITIMORTGAGE, INC.|7.875|30000|360|11/1999|01/2000|80.0||2.0|30.0|714.0|N|P|SF|1|S|NY|124||FRM|728.0||N
748770196290|B|WASHTENAW MORTGAGE COMPANY|7.875|172000|240|12/1999|02/2000|90.0||2.0|39.0|757.0|N|R|SF|1|P|LA|707|12.0|FRM|748.0|1.0|N
706126840431|C|BANK OF AMERICA, N.A.|8.125|95000|180|01/2000|03/2000|54.0||1.0|27.0|739.0|N|R|SF|1|P|MI|482||FRM|||N
235103394954|C|SUNTRUST MORTGAGE INC.|7.125|139000|360|10/1999|12/1999|80.0||2.0|30.0|773.0|N|P|SF|1|P|PA|196||FRM|788.0||N
164922405344|R|HARWOOD STREET FUNDING I, LLC|8.875|51000|360|01/2000|03/2000|75.0||2.0|32.0|754.0|N|P|SF|1|P|FL|346||FRM|756.0||N
698891899037|R|OTHER|7.75|61000|180|12/1999|02/2000|55.0||2.0|56.0|755.0|N|P|PU|1|P|TX|752||FRM|761.0||N
132813041629|R|USAA FEDERAL SAVINGS BANK|8.0|166000|360|12/1999|02/2000|95.0||2.0|19.0|789.0|N|P|SF|1|P|AZ|853|30.0|FRM|786.0|1.0|N
452358675473|R|JPMORGAN CHASE BANK, NA|7.875|216000|360|12/1999|02/2000|80.0||2.0|26.0|725.0|N|C|SF|1|P|GA|303||FRM|||N
706278520191|R|BANK OF AMERICA, N.A.|8.625|95000|360|01/2000|03/2000|90.0||2.0|51.0|754.0|N|P|SF|1|P|FL|321|17.0|FRM|724.0|2.0|N
890653330742|C|FLAGSTAR BANK, FSB|8.75|74000|360|03/2000|04/2000|78.0||2.0|33.0|713.0|N|R|SF|2|I|MD|219||FRM|724.0||N
824336045340|R|BISHOPS GATE RESIDENTIAL MORTGAGE TRUST|7.625|219000|360|12/1999|02/2000|76.0||2.0|17.0|789.0|N|P|SF|1|P|MN|554||FRM|783.0||N
